Price,Close,High,Low,Open,Volume,adjclose_15,true_adjclose_15,buy_profit,sell_profit
Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,,,,
Date,,,,,,,,,
2023-01-11,95.08999633789062,95.26000213623047,90.93000030517578,90.93000030517578,103126200,87.16058,109.89426302326564,0.0,-14.804267883300781
2023-01-12,95.2699966430664,97.19000244140625,93.5,96.93000030517578,85254800,88.73901,104.92201803351675,0.0,-9.652023315429688
2023-01-17,96.05000305175781,98.88999938964844,95.7300033569336,98.68000030517578,72755000,92.15361,100.84656503942986,0.0,-4.796562194824219
2023-01-25,97.18000030517578,97.23999786376953,91.5199966430664,92.55999755859375,94261600,96.680084,98.77396321364122,0.0,-1.593963623046875
2023-01-26,99.22000122070312,99.48999786376953,96.91999816894531,98.23999786376953,68523600,97.0629,98.89353902744685,0.0,0.3264617919921875
2023-01-30,100.55000305175781,101.73999786376953,99.01000213623047,101.08999633789062,70691900,98.54805,95.03730455754454,0.0,5.5126953125
2023-02-16,98.1500015258789,100.62999725341797,98.0999984741211,99.20999908447266,56339200,100.552826,92.37680541894407,-5.773193359375,0.0
2023-02-17,97.19999694824219,97.94000244140625,95.6500015258789,97.80000305175781,60029400,100.15823,89.68641422745507,-7.513580322265625,0.0
2023-02-28,94.2300033569336,94.69000244140625,92.91999816894531,93.13999938964844,43959300,96.253296,97.82734606166399,3.5973434448242188,0.0
2023-03-01,92.16999816894531,94.68000030517578,91.58999633789062,93.87000274658203,52299500,95.69232,100.12912536109907,7.959129333496094,0.0
2023-03-14,94.87999725341797,95.06999969482422,92.70999908447266,93.83000183105469,60912700,93.673225,102.42094571107229,0.0,-7.540946960449219
2023-04-12,97.83000183105469,100.51000213623047,97.70999908447266,100.4000015258789,56735000,102.36332,103.40742146765139,5.577423095703125,0.0
2023-04-13,102.4000015258789,102.56999969482422,98.70999908447266,98.94999694824219,67925100,102.071365,103.70635720103972,0.0,-1.3063583374023438
2023-04-17,102.73999786376953,103.7300033569336,101.58999633789062,103.16000366210938,39919500,102.19057,104.70279950933218,0.0,-1.962799072265625
2023-04-18,102.30000305175781,104.19999694824219,101.5199966430664,103.94999694824219,39790500,102.458,105.14123655770132,2.8412322998046875,0.0
2023-04-28,105.44999694824219,109.4800033569336,104.33000183105469,107.7300033569336,130715900,105.97052,117.7761253309396,12.326126098632812,0.0
2023-05-01,102.05000305175781,105.2300033569336,101.81999969482422,104.94999694824219,74728100,105.88919,116.39106352834173,14.341056823730469,0.0
2023-05-04,104.0,105.38999938964844,103.30999755859375,104.04000091552734,45345500,105.08313,116.2515622133609,12.251564025878906,0.0
2023-05-16,113.4000015258789,114.79000091552734,111.05000305175781,111.05000305175781,71472900,109.97299,126.59463823887745,0.0,-13.194633483886719
2023-05-18,118.1500015258789,118.5999984741211,116.33999633789062,116.69000244140625,73174100,112.43138,123.67506197149052,0.0,-5.525062561035156
2023-05-22,115.01000213623047,116.7699966430664,114.25,116.7699966430664,70741100,114.63388,127.70068220701067,0.0,-12.690681457519531
2023-05-30,121.66000366210938,122.91999816894531,119.86000061035156,122.37000274658203,64314800,117.26114,125.22950953970626,0.0,-3.5695037841796875
2023-06-08,124.25,125.62999725341797,122.26000213623047,123.01000213623047,62159300,123.57803,129.0458854050067,0.0,-4.7958831787109375
2023-06-21,124.83000183105469,126.7300033569336,123.8499984741211,125.63999938964844,52137700,126.02839,133.5996188475616,8.769622802734375,0.0
2023-06-22,130.14999389648438,130.3300018310547,125.13999938964844,125.30999755859375,90354600,126.18436,133.6195519509883,0.0,-3.4695587158203125
2023-06-23,129.3300018310547,130.83999633789062,128.27999877929688,129.11000061035156,71927800,126.58899,134.11777310513452,0.0,-4.7877655029296875
